5TM-5TMR_LYT	PF07694.12	5TMR of 5TMR-LYT
5_3_exonuc	PF01367.20	5'-3' exonuclease, C-terminal SAM fold
5_3_exonuc_N	PF02739.16	5'-3' exonuclease, N-terminal resolvase-like domain
5_nucleotid	PF05761.14	5' nucleotidase family
5_nucleotid_C	PF02872.18	5'-nucleotidase, C-terminal domain
60KD_IMP	PF02096.20	60Kd inner membrane protein
6PF2K	PF01591.18	6-phosphofructo-2-kinase
6PGD	PF00393.19	6-phosphogluconate dehydrogenase, C-terminal domain
7kD_DNA_binding	PF02294.18	7kD DNA-binding domain
7TM-7TMR_HD	PF07698.11	7TM receptor with intracellular HD hydrolase
7TMR-DISMED2	PF07696.11	7TMR-DISM extracellular 2
7TMR-DISM_7TM	PF07695.11	7TM diverse intracellular signalling
7TMR-HDED	PF07697.11	7TM-HD extracellular
7tm_1	PF00001.21	7 transmembrane receptor (rhodopsin family)
7tm_2	PF00002.24	7 transmembrane receptor (Secretin family)
7tm_3	PF00003.22	7 transmembrane sweet-taste receptor of 3 GCPR
7tm_4	PF13853.6	Olfactory receptor
7tm_6	PF02949.20	7tm Odorant receptor
7tm_7	PF08395.12	7tm Chemosensory receptor
7TM_GPCR_Sra	PF02117.16	Serpentine type 7TM GPCR chemoreceptor Sra
7TM_GPCR_Srab	PF10292.9	Serpentine type 7TM GPCR receptor class ab chemoreceptor
7TM_GPCR_Srb	PF02175.16	Serpentine type 7TM GPCR chemoreceptor Srb
7TM_GPCR_Srbc	PF10316.9	Serpentine type 7TM GPCR chemoreceptor Srbc
7TM_GPCR_Srd	PF10317.9	Serpentine type 7TM GPCR chemoreceptor Srd
7TM_GPCR_Srh	PF10318.9	Serpentine type 7TM GPCR chemoreceptor Srh
7TM_GPCR_Sri	PF10327.9	Serpentine type 7TM GPCR chemoreceptor Sri
7TM_GPCR_Srj	PF10319.9	Serpentine type 7TM GPCR chemoreceptor Srj
7TM_GPCR_Srsx	PF10320.9	Serpentine type 7TM GPCR chemoreceptor Srsx
7TM_GPCR_Srt	PF10321.9	Serpentine type 7TM GPCR chemoreceptor Srt
7TM_GPCR_Sru	PF10322.9	Serpentine type 7TM GPCR chemoreceptor Sru
7TM_GPCR_Srv	PF10323.9	Serpentine type 7TM GPCR chemoreceptor Srv
7TM_GPCR_Srw	PF10324.9	Serpentine type 7TM GPCR chemoreceptor Srw
7TM_GPCR_Srx	PF10328.9	Serpentine type 7TM GPCR chemoreceptor Srx
7TM_GPCR_Srz	PF10325.9	Serpentine type 7TM GPCR chemoreceptor Srz
7TM_GPCR_Str	PF10326.9	Serpentine type 7TM GPCR chemoreceptor Str
7TM_transglut	PF14402.6	7 transmembrane helices usually fused to an inactive transglutaminase
8TM_micro	PF17028.5	8TM Microsporidial transmembrane domain
A-2_8-polyST	PF07388.11	Alpha-2,8-polysialyltransferase (POLYST)
A1_Propeptide	PF07966.12	A1 Propeptide
A2L_zn_ribbon	PF08792.10	A2L zinc ribbon domain
A2M	PF00207.22	Alpha-2-macroglobulin family
A2M_BRD	PF07703.14	Alpha-2-macroglobulin bait region domain
A2M_recep	PF07677.14	A-macroglobulin receptor binding domain
AAA	PF00004.29	ATPase family associated with various cellular activities (AAA)
AAA-ATPase_like	PF09820.9	Predicted AAA-ATPase
AAA_10	PF12846.7	AAA-like domain
AAA_11	PF13086.6	AAA domain
AAA_12	PF13087.6	AAA domain
AAA_13	PF13166.6	AAA domain
AAA_14	PF13173.6	AAA domain
AAA_15	PF13175.6	AAA ATPase domain
AAA_16	PF13191.6	AAA ATPase domain
AAA_17	PF13207.6	AAA domain
AAA_18	PF13238.6	AAA domain
AAA_19	PF13245.6	AAA domain
AAA_2	PF07724.14	AAA domain (Cdc48 subfamily)
AAA_21	PF13304.6	AAA domain, putative AbiEii toxin, Type IV TA system
AAA_22	PF13401.6	AAA domain
AAA_23	PF13476.6	AAA domain
AAA_24	PF13479.6	AAA domain
AAA_25	PF13481.6	AAA domain
AAA_26	PF13500.6	AAA domain
AAA_27	PF13514.6	AAA domain
AAA_28	PF13521.6	AAA domain
AAA_29	PF13555.6	P-loop containing region of AAA domain
AAA_3	PF07726.11	ATPase family associated with various cellular activities (AAA)
AAA_30	PF13604.6	AAA domain
AAA_31	PF13614.6	AAA domain
AAA_32	PF13654.6	AAA domain
AAA_33	PF13671.6	AAA domain
AAA_34	PF13872.6	P-loop containing NTP hydrolase pore-1
AAA_35	PF14516.6	AAA-like domain
AAA_5	PF07728.14	AAA domain (dynein-related subfamily)
AAA_6	PF12774.7	Hydrolytic ATP binding site of dynein motor region
AAA_7	PF12775.7	P-loop containing dynein motor region
AAA_8	PF12780.7	P-loop containing dynein motor region D4
AAA_9	PF12781.7	ATP-binding dynein motor region
AAA_assoc	PF14363.6	Domain associated at C-terminal with AAA
AAA_assoc_2	PF16193.5	AAA C-terminal domain
AAA_assoc_C	PF09821.9	C-terminal AAA-associated domain
AAA_lid_1	PF17857.1	AAA+ lid domain
AAA_lid_10	PF17872.1	AAA lid domain
AAA_lid_11	PF18198.1	Dynein heavy chain AAA lid domain
AAA_lid_2	PF17863.1	AAA lid domain
AAA_lid_3	PF17862.1	AAA+ lid domain
AAA_lid_4	PF17864.1	RuvB AAA lid domain
AAA_lid_5	PF17865.1	Midasin AAA lid domain
AAA_lid_6	PF17866.1	AAA lid domain
AAA_lid_7	PF17867.1	Midasin AAA lid domain
AAA_lid_8	PF17868.1	AAA lid domain
AAA_lid_9	PF17871.1	AAA lid domain
AAA_PrkA	PF08298.11	PrkA AAA domain
AadA_C	PF18280.1	Aminoglycoside adenyltransferase C-terminal domain
AalphaY_MDB	PF04611.12	Mating type protein A alpha Y mating type dependent binding region
AAL_decarboxy	PF03306.13	Alpha-acetolactate decarboxylase
AAR2	PF05282.11	AAR2 protein
AARP2CN	PF08142.12	AARP2CN (NUC121) domain
AAT	PF03417.16	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
AATase	PF07247.12	Alcohol acetyltransferase
AATF-Che1	PF13339.6	Apoptosis antagonizing transcription factor
AA_kinase	PF00696.28	Amino acid kinase family
AA_permease	PF00324.21	Amino acid permease
AA_permease_2	PF13520.6	Amino acid permease
AA_permease_C	PF13906.6	C-terminus of AA_permease
AA_permease_N	PF08403.10	Amino acid permease N-terminal
AA_synth	PF06684.11	Amino acid synthesis
Aa_trans	PF01490.18	Transmembrane amino acid transporter protein
ABATE	PF07336.11	Putative stress-induced transcription regulator
ABA_GPCR	PF12430.8	Abscisic acid G-protein coupled receptor
ABA_WDS	PF02496.16	ABA/WDS induced protein
AbbA_antirepres	PF14156.6	Antirepressor AbbA
ABC-3	PF00950.17	ABC 3 transport family
ABC1	PF03109.16	ABC1 family
ABC2_membrane	PF01061.24	ABC-2 type transporter
ABC2_membrane_2	PF12679.7	ABC-2 family transporter protein
ABC2_membrane_3	PF12698.7	ABC-2 family transporter protein
ABC2_membrane_4	PF12730.7	ABC-2 family transporter protein
ABC2_membrane_5	PF13346.6	ABC-2 family transporter protein
ABC2_membrane_6	PF06182.11	ABC-2 family transporter protein
ABC_ATPase	PF09818.9	Predicted ATPase of the ABC class
ABC_cobalt	PF09819.9	ABC-type cobalt transport system, permease component
ABC_export	PF16962.5	Putative ABC exporter
ABC_membrane	PF00664.23	ABC transporter transmembrane region
ABC_membrane_2	PF06472.15	ABC transporter transmembrane region 2
ABC_membrane_3	PF13748.6	ABC transporter transmembrane region
ABC_sub_bind	PF04392.12	ABC transporter substrate binding protein
ABC_tran	PF00005.27	ABC transporter
ABC_transp_aux	PF09822.9	ABC-type uncharacterized transport system
ABC_trans_aux	PF03886.13	ABC-type transport auxiliary lipoprotein component
ABC_trans_CmpB	PF06541.11	Putative ABC-transporter type IV
ABC_trans_N	PF14510.6	ABC-transporter N-terminal
ABC_tran_2	PF16949.5	Putative ATP-binding cassette
ABC_tran_CTD	PF16326.5	ABC transporter C-terminal domain
ABC_tran_Xtn	PF12848.7	ABC transporter
Abdominal-A	PF12407.8	Homeobox protein
AbfB	PF05270.13	Alpha-L-arabinofuranosidase B (ABFB) domain
AbfS_sensor	PF18225.1	Sensor histidine kinase (AbfS) sensor domain
ABG_transport	PF03806.13	AbgT putative transporter family
Abhydrolase_1	PF00561.20	alpha/beta hydrolase fold
Abhydrolase_2	PF02230.16	Phospholipase/Carboxylesterase
Abhydrolase_3	PF07859.13	alpha/beta hydrolase fold
Abhydrolase_4	PF08386.10	TAP-like protein
Abhydrolase_5	PF12695.7	Alpha/beta hydrolase family
Abhydrolase_6	PF12697.7	Alpha/beta hydrolase family
Abhydrolase_7	PF12715.7	Abhydrolase family
Abhydrolase_8	PF06259.12	Alpha/beta hydrolase
Abhydrolase_9	PF10081.9	Alpha/beta-hydrolase family
Abhydrolase_9_N	PF15420.6	Alpha/beta-hydrolase family N-terminus
Abhydro_lipase	PF04083.16	Partial alpha/beta-hydrolase lipase region
AbiEii	PF08843.11	Nucleotidyl transferase AbiEii toxin, Type IV TA system
AbiEi_1	PF09407.10	AbiEi antitoxin C-terminal domain
AbiEi_2	PF09952.9	Transcriptional regulator, AbiEi antitoxin, Type IV TA system
AbiEi_3	PF11459.8	Transcriptional regulator, AbiEi antitoxin, Type IV TA system
AbiEi_3_N	PF17194.4	Transcriptional regulator, AbiEi antitoxin N-terminal domain
AbiEi_4	PF13338.6	Transcriptional regulator, AbiEi antitoxin
AbiGi	PF10899.8	Putative abortive phage resistance protein AbiGi, antitoxin
AbiGii_2	PF16873.5	Putative abortive phage resistance protein AbiGii toxin
AbiH	PF14253.6	Bacteriophage abortive infection AbiH
AbiJ_NTD3	PF18860.1	AbiJ N-terminal domain 3
AbiJ_NTD4	PF18863.1	AbiJ N-terminal domain 4
AbiJ_NTD5	PF18865.1	AbiJ N-terminal domain 5
AbiTii	PF18864.1	AbiTii
Abi_2	PF07751.11	Abi-like protein
Abi_C	PF14355.6	Abortive infection C-terminus
Abi_HHR	PF07815.14	Abl-interactor HHR
AbLIM_anchor	PF16182.5	Putative adherens-junction anchoring region of AbLIM
ABM	PF03992.16	Antibiotic biosynthesis monooxygenase
Abp2	PF09441.10	ARS binding protein 2
AbrB	PF05145.12	Transition state regulatory protein AbrB
AbrB-like	PF14250.6	AbrB-like transcriptional regulator
AbrB_C	PF18277.1	AbrB C-terminal domain
Ac110_PIF	PF07280.11	Per os infectivity factor AC110
Ac76	PF05814.11	Orf76 (Ac76)
Ac81	PF05820.11	Baculoviridae AC81
ACAS_N	PF16177.5	Acetyl-coenzyme A synthetase N-terminus
Acatn	PF13000.7	Acetyl-coenzyme A transporter 1
ACBP	PF00887.19	Acyl CoA binding protein
ACCA	PF03255.14	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
ACC_central	PF08326.12	Acetyl-CoA carboxylase, central region
ACC_epsilon	PF13822.6	Acyl-CoA carboxylase epsilon subunit
ACD	PF16671.5	Actin cross-linking domain
ACDC	PF14733.6	AP2-coincident C-terminal
AceK	PF06315.11	Isocitrate dehydrogenase kinase/phosphatase (AceK)
Acetate_kinase	PF00871.17	Acetokinase family
AcetDehyd-dimer	PF09290.11	Prokaryotic acetaldehyde dehydrogenase, dimerisation
Acetone_carb_G	PF08882.11	Acetone carboxylase gamma subunit
AcetylCoA_hydro	PF02550.15	Acetyl-CoA hydrolase/transferase N-terminal domain
AcetylCoA_hyd_C	PF13336.6	Acetyl-CoA hydrolase/transferase C-terminal domain
Acetyltransf_1	PF00583.25	Acetyltransferase (GNAT) family
Acetyltransf_10	PF13673.7	Acetyltransferase (GNAT) domain
Acetyltransf_11	PF13720.6	Udp N-acetylglucosamine O-acyltransferase; Domain 2
Acetyltransf_13	PF13880.6	ESCO1/2 acetyl-transferase
Acetyltransf_14	PF03421.16	YopJ Serine/Threonine acetyltransferase
Acetyltransf_15	PF17013.5	Putative acetyl-transferase
Acetyltransf_16	PF05301.11	GNAT acetyltransferase, Mec-17
Acetyltransf_17	PF17668.1	Acetyltransferase (GNAT) domain
Acetyltransf_18	PF18014.1	Acetyltransferase (GNAT) domain
Acetyltransf_19	PF18015.1	Acetyltransferase (GNAT) domain
Acetyltransf_2	PF00797.17	N-acetyltransferase
Acetyltransf_3	PF13302.7	Acetyltransferase (GNAT) domain
Acetyltransf_4	PF13420.7	Acetyltransferase (GNAT) domain
Acetyltransf_5	PF13444.6	Acetyltransferase (GNAT) domain
Acetyltransf_6	PF13480.7	Acetyltransferase (GNAT) domain
Acetyltransf_7	PF13508.7	Acetyltransferase (GNAT) domain
Acetyltransf_8	PF13523.6	Acetyltransferase (GNAT) domain
Acetyltransf_9	PF13527.7	Acetyltransferase (GNAT) domain
Acetyltransf_CG	PF14542.6	GCN5-related N-acetyl-transferase
AChE_tetra	PF08674.10	Acetylcholinesterase tetramerisation domain
ACI44	PF15270.6	Metallo-carboxypeptidase inhibitor
Acid_phosphat_B	PF03767.14	HAD superfamily, subfamily IIIB (Acid phosphatase)
Acid_PPase	PF12689.7	Acid Phosphatase
AcMNPV_Ac109	PF05054.12	Autographa californica nuclear polyhedrosis virus (AcMNPV) protein
Aconitase	PF00330.20	Aconitase family (aconitate hydratase)
Aconitase_2_N	PF06434.13	Aconitate hydratase 2 N-terminus
Aconitase_B_N	PF11791.8	Aconitate B N-terminal domain
Aconitase_C	PF00694.19	Aconitase C-terminal domain
ACOX	PF01756.19	Acyl-CoA oxidase
ACP	PF06857.11	Malonate decarboxylase delta subunit (MdcD)
Acp26Ab	PF05777.12	Drosophila accessory gland-specific peptide 26Ab (Acp26Ab)
ACP53EA	PF06313.11	Drosophila ACP53EA protein
ACPS	PF01648.20	4'-phosphopantetheinyl transferase superfamily
ACP_PD	PF04336.12	Acyl carrier protein phosphodiesterase
ACP_syn_III	PF08545.10	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
ACP_syn_III_C	PF08541.10	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
AcrZ	PF10766.9	Multidrug efflux pump-associated protein AcrZ
ACR_tran	PF00873.19	AcrB/AcrD/AcrF family
ACT	PF01842.25	ACT domain
Act-Frag_cataly	PF09192.10	Actin-fragmin kinase, catalytic
ActA	PF05058.12	ActA Protein
ACTH_assoc	PF16102.5	ACTH-associated domain
ACTH_domain	PF00976.18	Corticotropin ACTH domain
Actin	PF00022.19	Actin
Actino_peptide	PF14408.6	Ribosomally synthesised peptide in actinomycetes
Actin_micro	PF17003.5	Putative actin-like family
Activator-TraM	PF11657.8	Transcriptional activator TraM
Activator_LAG-3	PF11498.8	Transcriptional activator LAG-3
Activin_recp	PF01064.23	Activin types I and II receptor domain
ACTL7A_N	PF16840.5	Actin-like protein 7A N-terminus
ACT_3	PF10000.9	ACT domain
ACT_4	PF13291.6	ACT domain
ACT_5	PF13710.6	ACT domain
ACT_6	PF13740.6	ACT domain
ACT_7	PF13840.6	ACT domain
acVLRF1	PF18859.1	Actinobacteria/chloroflexi VLRF1 release factor
Acyl-ACP_TE	PF01643.17	Acyl-ACP thioesterase
Acyl-CoA_dh_1	PF00441.24	Acyl-CoA dehydrogenase, C-terminal domain
Acyl-CoA_dh_2	PF08028.11	Acyl-CoA dehydrogenase, C-terminal domain
Acyl-CoA_dh_C	PF12806.7	Acetyl-CoA dehydrogenase C-terminal like
Acyl-CoA_dh_M	PF02770.19	Acyl-CoA dehydrogenase, middle domain
Acyl-CoA_dh_N	PF02771.16	Acyl-CoA dehydrogenase, N-terminal domain
Acyl-CoA_ox_N	PF14749.6	Acyl-coenzyme A oxidase N-terminal
Acyl-thio_N	PF12590.8	Acyl-ATP thioesterase
AcylCoA_dehyd_C	PF12186.8	Acyl-CoA dehydrogenase C terminal
AcylCoA_DH_N	PF12418.8	Acyl-CoA dehydrogenase N terminal
Acylphosphatase	PF00708.18	Acylphosphatase
Acyltransferase	PF01553.21	Acyltransferase
Acyltransf_C	PF16076.5	Acyltransferase C-terminus
Acyl_CoA_thio	PF02551.15	Acyl-CoA thioesterase
Acyl_transf_1	PF00698.21	Acyl transferase domain
Acyl_transf_2	PF02273.15	Acyl transferase
Acyl_transf_3	PF01757.22	Acyltransferase family
AC_N	PF16214.5	Adenylyl cyclase N-terminal extracellular and transmembrane region
AD	PF09793.9	Anticodon-binding domain
Ada3	PF10198.9	Histone acetyltransferases subunit 3
ADAM17_MPD	PF16698.5	Membrane-proximal domain, switch, for ADAM17
ADAM_CR	PF08516.12	ADAM cysteine-rich
ADAM_CR_2	PF17771.1	ADAM cysteine-rich domain
ADAM_spacer1	PF05986.14	ADAM-TS Spacer 1
Adaptin_binding	PF10199.9	Alpha and gamma adaptin binding protein p34
Adaptin_N	PF01602.20	Adaptin N terminal region
Adap_comp_sub	PF00928.21	Adaptor complexes medium subunit family
Ada_Zn_binding	PF02805.16	Metal binding domain of Ada
ADC	PF06314.11	Acetoacetate decarboxylase (ADC)
ADD_ATRX	PF17981.1	Cysteine Rich ADD domain
ADD_DNMT3	PF17980.1	Cysteine rich ADD domain in DNMT3
Adenine_deam_C	PF13382.6	Adenine deaminase C-terminal domain
Adenine_glyco	PF03352.13	Methyladenine glycosylase
Adenosine_kin	PF04008.14	Adenosine specific kinase
Adeno_100	PF02438.16	Late 100kD protein
Adeno_52K	PF03052.15	Adenoviral protein L1 52/55-kDa
Adeno_E1A	PF02703.14	Early E1A protein
Adeno_E1B_19K	PF01691.16	Adenovirus E1B 19K protein / small t-antigen
Adeno_E1B_55K	PF01696.17	Adenovirus EB1 55K protein / large t-antigen
Adeno_E1B_55K_N	PF04623.12	Adenovirus E1B protein N-terminus
Adeno_E3	PF06040.11	Adenovirus E3 protein
Adeno_E3A	PF05248.12	Adenovirus E3A
Adeno_E3B	PF03376.14	Adenovirus E3B protein
Adeno_E3_14_5	PF04834.12	Early E3 14.5 kDa protein
Adeno_E3_15_3	PF03307.14	Adenovirus 15.3kD protein in E3 region
Adeno_E3_CR1	PF02440.15	Adenovirus E3 region protein CR1
Adeno_E3_CR2	PF02439.15	Adenovirus E3 region protein CR2
Adeno_E4	PF05385.11	Mastadenovirus early E4 13 kDa protein
Adeno_E4_34	PF04528.13	Adenovirus early E4 34 kDa protein conserved region
Adeno_E4_ORF3	PF06931.11	Mastadenovirus E4 ORF3 protein
Adeno_GP19K	PF04881.13	Adenovirus GP19K
Adeno_hexon	PF01065.19	Hexon, adenovirus major coat protein, N-terminal domain
Adeno_hexon_C	PF03678.14	Hexon, adenovirus major coat protein, C-terminal domain
Adeno_IVa2	PF02456.15	Adenovirus IVa2 protein
Adeno_knob	PF00541.17	Adenoviral fibre protein (knob domain)
Adeno_Penton_B	PF01686.17	Adenovirus penton base protein
Adeno_PIX	PF03955.14	Adenovirus hexon-associated protein (IX)
Adeno_PV	PF03910.13	Adenovirus minor core protein PV
Adeno_PVIII	PF01310.18	Adenovirus hexon associated protein, protein VIII
Adeno_PX	PF05829.12	Adenovirus late L2 mu core protein (Protein X)
Adeno_shaft	PF00608.17	Adenoviral fibre protein (repeat/shaft region)
Adeno_terminal	PF02459.15	Adenoviral DNA terminal protein
Adeno_VII	PF03228.14	Adenoviral core protein VII
AdenylateSensor	PF16579.5	Adenylate sensor of SNF1-like protein kinase
Adenylate_cycl	PF01295.18	Adenylate cyclase, class-I
Adenylsucc_synt	PF00709.21	Adenylosuccinate synthetase
Adenyl_cycl_N	PF12633.7	Adenylate cyclase NT domain
Adenyl_transf	PF04439.12	Streptomycin adenylyltransferase
AdHead_fibreRBD	PF16812.5	C-terminal head domain of the fowl adenovirus type 1 long fibre
Adhes-Ig_like	PF09085.10	Adhesion molecule, immunoglobulin-like
Adhesin_Dr	PF04619.12	Dr-family adhesin
Adhesin_E	PF16747.5	Surface-adhesin protein E
Adhesin_P1	PF03257.13	Mycoplasma adhesin P1
Adhesin_P1_N	PF18652.1	Adhesin P1 N-terminal domain
ADH_N	PF08240.12	Alcohol dehydrogenase GroES-like domain
ADH_N_2	PF16884.5	N-terminal domain of oxidoreductase
ADH_N_assoc	PF13823.6	Alcohol dehydrogenase GroES-associated
adh_short	PF00106.25	short chain dehydrogenase
adh_short_C2	PF13561.6	Enoyl-(Acyl carrier protein) reductase
ADH_zinc_N	PF00107.26	Zinc-binding dehydrogenase
ADH_zinc_N_2	PF13602.6	Zinc-binding dehydrogenase
ADIP	PF11559.8	Afadin- and alpha -actinin-Binding
Adipogenin	PF15202.6	Adipogenin
Adipokin_hormo	PF06377.11	Adipokinetic hormone
ADK	PF00406.22	Adenylate kinase
ADK_lid	PF05191.14	Adenylate kinase, active site lid
AdoHcyase	PF05221.17	S-adenosyl-L-homocysteine hydrolase
AdoHcyase_NAD	PF00670.21	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
AdoMetDC_leader	PF08132.11	S-adenosyl-l-methionine decarboxylase leader peptide
AdoMet_dc	PF02675.15	S-adenosylmethionine decarboxylase
AdoMet_MTase	PF07757.13	Predicted AdoMet-dependent methyltransferase
AdoMet_Synthase	PF01941.19	S-adenosylmethionine synthetase (AdoMet synthetase)
ADPrib_exo_Tox	PF03496.14	ADP-ribosyltransferase exoenzyme
ADPRTs_Tse2	PF18648.1	Tse2 ADP-ribosyltransferase toxins
ADP_PFK_GK	PF04587.15	ADP-specific Phosphofructokinase/Glucokinase conserved region
ADP_ribosyl_GH	PF03747.14	ADP-ribosylglycohydrolase
ADSL_C	PF10397.9	Adenylosuccinate lyase C-terminus
Ad_cyc_g-alpha	PF08509.11	Adenylate cyclase G-alpha binding domain
Ad_Cy_reg	PF16701.5	Adenylate cyclase regulatory domain
Aegerolysin	PF06355.13	Aegerolysin
AEP1	PF17049.5	ATPase expression protein 1
Aerolysin	PF01117.20	Aerolysin toxin
AF-4	PF05110.13	AF-4 proto-oncoprotein
AF0941-like	PF14591.6	AF0941-like
AF2331-like	PF14556.6	AF2331-like
AfaD	PF05775.12	Enterobacteria AfaD invasin protein
Afaf	PF15339.6	Acrosome formation-associated factor
AFG1_ATPase	PF03969.16	AFG1-like ATPase
Afi1	PF07792.12	Docking domain of Afi1 for Arf3 in vesicle trafficking
AflR	PF08493.10	Aflatoxin regulatory protein
AFOR_C	PF01314.18	Aldehyde ferredoxin oxidoreductase, domains 2 & 3
AFOR_N	PF02730.15	Aldehyde ferredoxin oxidoreductase, N-terminal domain
AFP	PF02420.15	Insect antifreeze protein repeat
AFP_2	PF18815.1	Bacterial antifreeze protein repeat
AfsA	PF03756.13	A-factor biosynthesis hotdog domain
AFT	PF08731.11	Transcription factor AFT
Aft1_HRA	PF11786.8	Aft1 HRA domain
Aft1_HRR	PF11787.8	Aft1 HRR domain
Aft1_OSA	PF11785.8	Aft1 osmotic stress response (OSM) domain
AftA_C	PF12249.8	Arabinofuranosyltransferase A C terminal
AftA_N	PF12250.8	Arabinofuranosyltransferase N terminal
Ag332	PF04671.12	Erythrocyte membrane-associated giant protein antigen 332
AGA2	PF17366.2	A-agglutinin-binding subunit Aga2
Agarase_CBM	PF17992.1	Agarase CBM like domain
Agenet	PF05641.12	Agenet domain
Agglutinin	PF07468.11	Agglutinin domain
Agglutinin_C	PF18021.1	Agglutinin C-terminal
AGH	PF17558.2	Androgenic gland hormone
AgI_II_C2	PF17998.1	Cell surface antigen I/II C2 terminal domain
AglB_L1	PF18079.1	Archaeal glycosylation protein B long peripheral domain
AGOG	PF09171.10	N-glycosylase/DNA lyase
Agouti	PF05039.12	Agouti protein
Ago_hook	PF10427.9	Argonaute hook
AGO_N	PF18236.1	Argonaute N domain
Ago_N_1	PF18351.1	Fungal Argonaute N-terminal domain
Ago_PAZ	PF18309.1	Argonaute PAZ domain
AGP	PF06376.12	Arabinogalactan peptide
aGPT-Pplase1	PF18723.1	alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 1
aGPT-Pplase2	PF18724.1	Alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 2
aGPT-Pplase3	PF18746.1	Alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 3
